Client ID,Type,Status,Class Name,Start Datetime,Login Source,Membership Type,Location,Program Service,Counts Towards Membership Limits,Clients → Client Active,Class → Coach Name,Appointment Details - Appointment Booking → Provider Name
3789017,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
2797453,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
2488509,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1154863,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1237727,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
1154829,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4739389,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4739388,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4769029,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4761160,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Jose Espejo,
4718475,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
4649935,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4569016,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
4491068,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4988491,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4920242,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4826049,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4797272,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4881961,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Jose Espejo,
4899456,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
4882425,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,James Rankin,
5293376,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5301265,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5238008,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,James Rankin,
5207036,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5173366,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5202848,Classes,Attended,CrossFit: 5:30 AM,2024-05-02T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
5161846,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Inactive,Amy Flynn,
5167053,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Pack,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5172342,Classes,Attended,CrossFit: 12:30 PM,2024-05-02T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5047109,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
5077007,Classes,Attended,CrossFit: 6:00 PM,2024-05-02T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
2863359,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
3812687,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4797272,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4826049,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4920242,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4975179,Classes,Attended,CrossFit: 5:30 AM,2024-05-01T05:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,James Rankin,
4953131,Classes,Attended,CrossFit: 12:30 PM,2024-05-01T12:30:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Amy Flynn,
5019142,Classes,Attended,CrossFit: 6:00 PM,2024-05-01T18:00:00,Mobile App,Class Plan,Bua Santry,1. Workout of the Day,Yes,Active,Jose Espejo,
